recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
153060196,"{'steamid': '76561199014450897', 'num_games_owned': 0, 'num_reviews': 58, 'playtime_forever': 78, 'playtime_last_two_weeks': 0, 'playtime_at_review': 30, 'last_played': 1701976081}",english,"You got this game from the bundle, Face it.
",1701974306,1701974306,True,10,5,0.643162906169891357,0,True,False,False,True,
154641720,"{'steamid': '76561197971080714', 'num_games_owned': 1093, 'num_reviews': 1315, 'playtime_forever': 11, 'playtime_last_two_weeks': 11, 'playtime_at_review': 6, 'last_played': 1703835586}",english,May I have some more Steam points?,1703783903,1703783903,False,17,9,0.586949050426483154,0,True,True,False,True,
153394156,"{'steamid': '76561199171475523', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 443, 'playtime_last_two_weeks': 0, 'playtime_at_review': 439, 'last_played': 1702758178}",english,I love playing against 2 players,1702322547,1702322547,True,5,1,0.580505847930908203,0,True,True,False,True,
154355973,"{'steamid': '76561198161449556', 'num_games_owned': 244, 'num_reviews': 52, 'playtime_forever': 14, 'playtime_last_two_weeks': 0, 'playtime_at_review': 14, 'last_played': 1658267642}",english,I forgot i had this,1703495589,1703495589,True,3,1,0.545851528644561768,0,True,False,False,True,
153232052,"{'steamid': '76561198313962089', 'num_games_owned': 0, 'num_reviews': 53, 'playtime_forever': 47, 'playtime_last_two_weeks': 0, 'playtime_at_review': 47, 'last_played': 1671490123}",english,It's dead.,1702147352,1702147352,False,2,4,0.520795643329620361,0,True,False,False,True,
148507384,"{'steamid': '76561199021180263', 'num_games_owned': 188, 'num_reviews': 22, 'playtime_forever': 43, 'playtime_last_two_weeks': 0, 'playtime_at_review': 43, 'last_played': 1697376739}",english,got killed by a crowbar 5 times,1697748593,1697748593,True,36,11,0.809758424758911133,0,True,False,False,True,
150277099,"{'steamid': '76561198846197457', 'num_games_owned': 53, 'num_reviews': 23, 'playtime_forever': 92, 'playtime_last_two_weeks': 0, 'playtime_at_review': 55, 'last_played': 1700835356}",english,I own this?,1700226516,1700226516,True,25,12,0.758081436157226563,0,True,False,False,True,
148032435,"{'steamid': '76561199232255186', 'num_games_owned': 30, 'num_reviews': 12, 'playtime_forever': 26, 'playtime_last_two_weeks': 0, 'playtime_at_review': 10, 'last_played': 1700513044}",english,You only have this game because you bought the valve pack,1697040561,1697040561,False,36,8,0.736656606197357178,0,True,False,False,True,
150274909,"{'steamid': '76561198015171654', 'num_games_owned': 1091, 'num_reviews': 290, 'playtime_forever': 101, 'playtime_last_two_weeks': 0, 'playtime_at_review': 101, 'last_played': 1700222367}",english,"Dunno how I ended up in this game. I'ma bit stoned and just looking for something dumb to do I guess but this was a fun little accident! I've never played this nor heard of this before but it's there in library. Got that Valve bundle a long ass time ago and this was just nestled into all the Half-Life block. Dude... Talk about a time machine!

I managed to find an active server and ran around having memories of a time gone by. I'm not that old but old enough to miss being stuck in a certain point in time and not fully understanding the gravity of growing up but also maybe a little too well. And you would think that this dusty, practically dead, relic of an FPS PVP would have elicited other emotions. Boredom, maybe, because the graphics are Minecraft in Standard Definition. Maybe anger at how janky and weirdly precision the guns feel to use. or even, still, a bland indifference. But no. I was back in the gaming cafe, with my buds, just focused on beating each other up and strangely happy about it. When I tell you I could almost taste the Monster, I'm not a paid ad! It's scary real it all felt. 

So I'm glad I stumbled into playing a bit of this. I dunno how good it was upon release or how popular it was to play. I was just getting into video games and wasn't deep in the culture yet, But one thing I do know is that it captures a certain era of my lifetime and I was cozily marinating in the memories.",1700223482,1700223482,True,17,3,0.690452277660369873,0,True,False,False,True,
150464306,"{'steamid': '76561197970655193', 'num_games_owned': 302, 'num_reviews': 34, 'playtime_forever': 5, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1486751106}",english,They de-listed Source but not this. lol,1700441758,1700441758,True,13,5,0.656798601150512695,0,True,False,False,True,
153060196,"{'steamid': '76561199014450897', 'num_games_owned': 0, 'num_reviews': 58, 'playtime_forever': 78, 'playtime_last_two_weeks': 0, 'playtime_at_review': 30, 'last_played': 1701976081}",english,"You got this game from the bundle, Face it.
",1701974306,1701974306,True,10,5,0.643162906169891357,0,True,False,False,True,
152816373,"{'steamid': '76561197961116735', 'num_games_owned': 0, 'num_reviews': 10, 'playtime_forever': 261, 'playtime_last_two_weeks': 0, 'playtime_at_review': 261, 'last_played': 1701257284}",english,"Half-Life Deathmatch: Source (HLDMS) is essentially a 2006 remake of the popular Deathmatch Classic (DMC) released in 2001, but now updated to the Source engine. 

I can’t say I ever saw this game popular. The trouble with this release is that it launched [i]after[/i] both Half-Life 2: Deathmatch (2004) and Garry’s Mod (2004). In fact, the same year it released we had Garry’s Mod release as a full standalone package. 

As a result, this game had a small userbase and it proved to be very difficult to get people to shift away from DMC and other more popular, more advanced valve published titles for that time period.",1701623352,1701624276,False,13,0,0.638345003128051758,0,True,False,False,True,
151223350,"{'steamid': '76561198399405046', 'num_games_owned': 104, 'num_reviews': 30, 'playtime_forever': 196, 'playtime_last_two_weeks': 0, 'playtime_at_review': 182, 'last_played': 1700712531}",english,Should've just been part of Half-Life Source to be honest.,1700708303,1700708303,False,10,0,0.62834632396697998,4,True,False,False,True,
150503141,"{'steamid': '76561199262489342', 'num_games_owned': 0, 'num_reviews': 18, 'playtime_forever': 62, 'playtime_last_two_weeks': 0, 'playtime_at_review': 11, 'last_played': 1701684222}",english,game is good but not as good as grandmas cookies,1700502785,1700502785,True,9,7,0.621683120727539063,0,True,False,False,True,
150500237,"{'steamid': '76561198439583741', 'num_games_owned': 232, 'num_reviews': 89, 'playtime_forever': 112, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7, 'last_played': 1702485374}",english,"this game quick reminder why we are playing video game, for fun.",1700499166,1700499166,True,7,0,0.593951165676116943,1,True,False,False,True,
154641720,"{'steamid': '76561197971080714', 'num_games_owned': 1093, 'num_reviews': 1315, 'playtime_forever': 11, 'playtime_last_two_weeks': 11, 'playtime_at_review': 6, 'last_played': 1703835586}",english,May I have some more Steam points?,1703783903,1703783903,False,17,9,0.586949050426483154,0,True,True,False,True,
